"TEXT","DISEASE","TREATMENT"
"we retrospectively reviewed 14 patients diagnosed with bos who underwent therapy with extracorporeal photopheresis .","['bos']","['therapy with extracorporeal photopheresis']"
"in three patients with bos and concurrent acute rejection , therapy with extracorporeal photopheresis led to the resolution of the acute rejection episode .","['bos and concurrent acute rejection']","['therapy with extracorporeal photopheresis']"
"extracorporeal photopheresis appears to be a promising therapy for patients with early bos .","['early bos']","['extracorporeal photopheresis']"
"many patients with locally advanced non-small-cell lung cancer ( la-nsclc ) are eligible for combined-modality therapy ( cmt ; chemotherapy and radiotherapy ) .","['locally advanced non-small-cell lung cancer ( la-nsclc )']","['combined-modality therapy ( cmt ; chemotherapy and radiotherapy )']"
"over the past twenty years combination chemotherapy has continued to produce small survival gains for patients with sclc .","['sclc']","['combination chemotherapy']"
"extent of pulmonary involvement at diagnosis , response of pm after induction chemotherapy , local treatment of pm thereafter , and clinical outcome were recorded .","['pm']","['induction chemotherapy']"
"the comparable survival of patients with poor and good response of pm to induction chemotherapy suggests that wli may benefit poor responders .","['pm']","['induction chemotherapy', 'wli']"
"to report the use of heparin and enoxaparin for radiation-induced myelopathy .","['radiation-induced myelopathy']","['heparin', 'enoxaparin']"
"therefore , patients with radiation-induced spinal cord injury may benefit from anticoagulant therapy .","['radiation-induced spinal cord injury']","['anticoagulant therapy']"
"heparin and/or enoxaparin may be considered as potential treatments for patients with radiation-induced myelopathy .","['radiation-induced myelopathy']","['heparin and/or enoxaparin']"
"expandable metal stents were inserted in two patients with severe dyspnea due to tracheal stenosis caused by lung cancer and esophageal cancer .","['severe dyspnea due to tracheal stenosis caused by lung cancer and esophageal cancer']","['expandable metal stents']"
"thus , we should recognize this immanent risk and perform peri- and postoperative management for patients with gh-producing tumors .","['gh-producing tumors']","['peri- and postoperative management']"
"at present the addition of thoracic irradiation to combination chemotherapy is a standard treatment for limited staged small cell lung cancer .","['limited staged small cell lung cancer']","['addition of thoracic irradiation to combination chemotherapy']"
"we conducted a phase ii study of etoposide ( vp-16 ) -ifosfamide-cisplatin ( vip ) combination chemotherapy plus early concurrent thoracic irradiation for the patients with previously untreated limited small cell lung cancer in order to assess if the treatment modality could improve the response rate and the toxicity .","['untreated limited small cell lung cancer']","['etoposide ( vp-16 ) -ifosfamide-cisplatin ( vip ) combination chemotherapy plus early concurrent thoracic irradiation']"
"forty-four patients with limited small cell lung cancer were treated with etoposide-ifosfamide-cisplatin and concurrent thoracic irradiation .","['limited small cell lung cancer']","['etoposide-ifosfamide-cisplatin and concurrent thoracic irradiation']"
"vip combination chemotherapy and early concurrent thoracic irradiation for patients with limited stage small cell lung cancer revealed excellent antitumor response with tolerable toxicity .","['limited stage small cell lung cancer']","['vip combination chemotherapy and early concurrent thoracic irradiation']"
"in this study we analyzed 33 cases which underwent complete surgical resection to assess the role of surgery in the treatment of patients with n 2 nsclc .","['n 2 nsclc']","['complete surgical resection']"
"we thereby recommend that surgery should only be performed for those n 2 nsclc patients diagnosed as t 1 or t 2 with a classification of p1 or less .","['n 2 nsclc']","['surgery']"
"inhaled corticosteroid therapy is recommended for patients with persistent disease , and careful instruction in the use of metered-dose inhalers is particularly important for the elderly .","['persistent disease']","['inhaled corticosteroid therapy']"
"the role of surgical staging of patients with non-small cell lung cancer ( nsclc ) continues to evolve .","['non-small cell lung cancer ( nsclc )']","['surgical staging']"
"given the cisplatin-related myelotoxicity and nonhematologic toxicities , we were prompted to undertake a study of the noncisplatin combination of paclitaxel plus gemcitabine to evaluate the efficacy , tolerance , and survival of this combination in patients with locally advanced and metastatic non-small-cell lung cancer ( nsclc ) .","['locally advanced and metastatic non-small-cell lung cancer ( nsclc )']","['noncisplatin combination of paclitaxel plus gemcitabine']"
"we evaluated the role of systemic chemotherapy for patients with malignant pleural effusions from nsclc .","['malignant pleural effusions from nsclc']","['systemic chemotherapy']"
"we analyzed 34 patients who were found to have malignant pleural effusions in the course of diagnosis of 118 patients enrolled in three consecutive clinical trials on advanced nsclc assessing combination chemotherapy of cisplatin , ifosfamide , and irinotecan with recombinant human granulocyte colony-stimulating factor support .","['malignant pleural effusions', 'nsclc']","['combination chemotherapy of cisplatin , ifosfamide , and irinotecan with recombinant human granulocyte colony-stimulating factor support']"
"both the response rate and survival data in this retrospective study suggest a high degree of activity of this combination chemotherapy in patients with malignant pleural effusions from nsclc .","['malignant pleural effusions from nsclc']","['combination chemotherapy']"
"in contrast , the introduction and improvement of chemotherapy since the 1970s gave rise to an improvement in - only short-term ( < 2 years ) - survival for patients with small-cell lung cancer .","['small-cell lung cancer']","['chemotherapy']"
"between july 1992 and december 1997 , 1799 patients were diagnosed as having lung cancer in our hospital and 926 patients received chemotherapy and/or thoracic radiotherapy .","['lung cancer']","['chemotherapy and/or thoracic radiotherapy']"
"the administration of mitomycin c in addition to cisplatin-based regimens for patients with lung cancer should be carefully considered .","['lung cancer']","['mitomycin c', 'cisplatin-based regimens']"
"570 patients with osteosarcoma of the extremities were treated with five different protocols of neoadjuvant chemotherapy at rizzoli institute between 1983 and 1995 .","['osteosarcoma of the extremities']","['neoadjuvant chemotherapy']"
"we conclude that for patients with osteosarcoma of the extremities treated with neoadjuvant ( a ) the pattern of systemic relapse changes according to the efficacy of the protocol of chemotherapy used .","['osteosarcoma of the extremities']","['neoadjuvant chemotherapy']"
"the degree of healing and damage of the bronchial wall after photodynamic therapy , nd-yag laser and electrocautery for intraluminal early-stage cancer have been analysed .","['intraluminal early-stage cancer']","['photodynamic therapy , nd-yag laser and electrocautery']"
"to examine whether efficacy of postoperative oral administration of uft , a 5-fluorouracil derivative chemotherapeutic agent , may be influenced by incidence of apoptosis ( apoptosis index ) or apoptosis-related gene status ( p53 and bcl-2 ) of the tumour , a total of 162 patients with pathologic stage i non-small cell lung cancer were retrospectively reviewed .","['pathologic stage i non-small cell lung cancer']","['uft , a 5-fluorouracil derivative chemotherapeutic agent']"
"the purpose of this study is to review our experience with the spectrum of neuroendocrine neoplasms of the lung with emphasis on the histopathologic classification and surgical therapy of each class of neoplasm .","['neuroendocrine neoplasms of the lung']","['surgical therapy']"
"during this period , a total of 77 patients underwent lung resection for the following neuroendocrine typical carcinoid ( tc ) , 50 patients ; atypical carcinoid ( ac ) , 5 patients ; large cell neuroendocrine carcinoma ( lcnec ) , 9 patients ; mixed large-small cell neuroendocrine carcinoma ( lsnec ) , 4 patients ; or small cell neuroendocrine carcinoma ( scc ) , 9 patients .","['neuroendocrine neoplasms', 'typical carcinoid ( tc )', 'atypical carcinoid ( ac )', 'large cell neuroendocrine carcinoma ( lcnec )', 'mixed large-small cell neuroendocrine carcinoma ( lsnec )', 'small cell neuroendocrine carcinoma ( scc )']","['lung resection']"
"despite the poor overall prognosis in high-grade neuroendocrine tumors of the lung , surgery remains a viable adjunct in the early stages of this disease .","['neuroendocrine tumors of the lung']","['surgery']"
"to assess results with twice-daily high-dose radiotherapy ( rt ) for non-small-cell lung cancer ( nsclc ) .","['non-small-cell lung cancer ( nsclc )']","['radiotherapy ( rt )']"
"is prolonged survival possible for patients with supraclavicular node metastases in nsclc treated with chemoradiotherapy ? ijrobp 1999 ; 44 ( 4 847-853 .","['supraclavicular node metastases in nsclc']","['chemoradiotherapy']"
"we aimed to investigate whether biological factors related to radiosensitivity and chemosensitivity have prognostic significance in non-small-cell-lung-cancer ( nsclc ) patients treated with daily low doses of cisplatin and radiotherapy .","['non-small-cell-lung-cancer ( nsclc )']","['cisplatin and radiotherapy']"
"we treated 27 nsclcm patients with concomitant daily low-dose cisplatin and radiotherapy between 1993 and 1995 .","['nsclcm']","['cisplatin and radiotherapy']"
"we examined the complications and outcomes of placing stents for both esophageal and tracheobronchial stenoses .","['esophageal and tracheobronchial stenoses']","['stents']"
"we placed stents for both esophageal and tracheobronchial stenoses in 8 patients ( 7 with esophageal cancer and 1 with lung cancer ) .","['esophageal and tracheobronchial stenoses']","['stents']"
"covered or noncovered metallic stents were used for the esophageal stenoses , except in 1 patient treated with a silicone stent .","['esophageal stenoses']","['metallic stents']"
"silicone stents were used for the tracheobronchial stenoses .","['tracheobronchial stenoses']","['silicone stents']"
"all patients experienced improvement of grades of both dysphagia and respiratory symptoms after stent therapy .","['dysphagia and respiratory symptoms']","['stent therapy']"
"for patients with both esophageal and tracheobronchial stenoses , a stent should be introduced into the tracheobronchus first .","['esophageal and tracheobronchial stenoses']","['stent']"
"because placement of stents in both the esophagus and tracheobronchus has a high risk of enlargement of the fistula , a covered metallic stent is preferable for esophageal cancer involving the tracheobronchus .","['esophageal cancer involving the tracheobronchus']","['covered metallic stent']"
"a retrospective immunohistochemical study was performed on material from patients who were newly diagnosed with osteogenic sarcoma who were treated according to the t12 protocol from the authors ' institution between 1986 to 1993 .","['osteogenic sarcoma']","['t12 protocol']"
"these data suggest that her2/erbb-2 should be evaluated prospectively as a prognostic indicator and clinical trials using antibodies that target this receptor should be considered for the treatment of patients with osteogenic sarcoma .","['osteogenic sarcoma']","['antibodies']"
"to examine the effectiveness of ninjin yoei to ( nyt ; ren-shen-yang-rong-tang in chinese medicine ; kotaro pharmaceutical co. , ltd. , osaka , japan ) , one of the traditional herbal medicines , against lung carcinoma .","['lung carcinoma']","['ninjin yoei to ( nyt ; ren-shen-yang-rong-tang in chinese medicine ; kotaro pharmaceutical co. , ltd. , osaka , japan ) , one of the traditional herbal medicines']"
"the nursing center himawari design , patient , and the regular dosage of nyt ( 15 g/d ) was prescribed for 7 weeks to one elderly patient with lung carcinoma .","['lung carcinoma']","['nyt']"
"nyt has a positive effect on life expectancy for patients with malignancy .","['malignancy']","['nyt']"
"the costs of videothoracoscopic procedures for patients with lung carcinoma were compared with those of patients who underwent open thoracotomy in japan .","['lung carcinoma']","['videothoracoscopic procedures', 'open thoracotomy']"
"the cost of surgical treatment in 1997 and 1998 for patients with resectable primary or metastatic lung carcinoma was analyzed from itemized statements of hospital charges .","['resectable primary or metastatic lung carcinoma']","['surgical treatment']"
"for patients with lung carcinoma who are in relatively poor health , the authors chose videothoracoscopic lobectomy or partial resection of the lung instead of an open thoracotomy .","['lung carcinoma']","['videothoracoscopic lobectomy or partial resection of the lung']"
"for patients with solitary pulmonary metastasis , the authors routinely performed thoracoscopic partial resection of the lung .","['solitary pulmonary metastasis']","['thoracoscopic partial resection of the lung']"
"curative therapy is available for patients with stage 0 lung carcinoma , with a > 90 % 5-year survival rate .","['stage 0 lung carcinoma']","['curative therapy']"
"the purpose of this retrospective study was to compare the effectiveness of gamma knife radiosurgery ( gks ) for multiple cerebral metastases with that of whole-brain radiation therapy ( wbrt ) .","['multiple cerebral metastases']","['gamma knife radiosurgery ( gks )', 'whole-brain radiation therapy ( wbrt )']"
"in the gks group , large lesions ( > 30 mm ) were removed surgically and all other small lesions ( < or = 30 mm ) were treated by gks .","['small lesions']","['gks']"
"new distant lesions were treated by repeated gks without prophylactic wbrt .","['distant lesions']","['gks']"
"gamma knife radiosurgery without prophylactic wbrt could be a primary choice of treatment for patients with as many as 10 cerebral metastases from nonsmall cell cancer .","['cerebral metastases from nonsmall cell cancer']","['gamma knife radiosurgery']"
"the notable exception has been docetaxel , which has been extensively studied as a second-line therapy for nsclc .","['nsclc']","['docetaxel']"
"the purpose of this retrospective study was to compare the effectiveness of gamma knife radiosurgery ( gks ) for multiple cerebral metastases with that of whole-brain radiation therapy ( wbrt ) .","['multiple cerebral metastases']","['gamma knife radiosurgery ( gks )', 'whole-brain radiation therapy ( wbrt )']"
"patients with a single non-sclc , breast , melanoma , renal cell , and ovarian carcinoma brain metastasis have the best chance for long-term survival if treated with surgical resection and wbrt .","['single non-sclc , breast , melanoma , renal cell , and ovarian carcinoma brain metastasis']","['surgical resection and wbrt']"
"careful patient selection is vital when video-assisted thoracoscopic surgical ( vats ) therapeutic pulmonary metastasectomy of colorectal carcinoma is considered .","['colorectal carcinoma']","['video-assisted thoracoscopic surgical ( vats ) therapeutic pulmonary metastasectomy']"
"we reviewed our vats experience for therapeutic metastasectomy of peripheral colorectal pulmonary metastases .","['peripheral colorectal pulmonary metastases']","['therapeutic metastasectomy']"
"over 90 months , therapeutic vats metastasectomy was accomplished upon 80 patients with colorectal metastases .","['colorectal metastases']","['therapeutic vats metastasectomy']"
"therapeutic vats resection of colorectal metastases appears efficacious .","['colorectal metastases']","['therapeutic vats resection']"
"to review the spectrum of presentation and the surgical management of non small cell lung cancer ( nsclc ) and the role of various diagnostic modalities in predicting the post-operative stage and the correlation of the post-operative stage with the chances of recurrence .","['non small cell lung cancer ( nsclc )']","['surgical management']"
"patients with limited-stage small-cell carcinoma of the lung are treated with combined-modality therapy with the intent to cure .","['limited-stage small-cell carcinoma of the lung']","['combined-modality therapy']"
"in the past several years , new chemotherapeutic agents , including the taxanes and the topoisomerase i inhibitors , have demonstrated substantial activity against small-cell carcinoma .","['small-cell carcinoma']","['new chemotherapeutic agents , including the taxanes and the topoisomerase i inhibitors']"
"we evaluated the role of chemotherapy for patients with brain metastases from nsclc .","['brain metastases from nsclc']","['chemotherapy']"
"we analyzed 30 patients who were discovered to have brain metastases during the diagnosis of 121 patients enrolled in three consecutive clinical trials on advanced nsclc assessing combination chemotherapy of cisplatin , ifosfamide and irinotecan with rhg-csf support .","['advanced nsclc']","['combination chemotherapy of cisplatin , ifosfamide and irinotecan with rhg-csf support']"
"both the response rate and survival data in this retrospective study suggest a high degree of activity of this combination chemotherapy in patients with brain metastases from nsclc .","['brain metastases from nsclc']","['combination chemotherapy']"
"the aim of this study was the evaluation of both the antitumour activity and toxicity of an immunochemotherapeutic regimen consisting of interferon-alpha2b and interleukin-2 in combination with fotemustine for patients with metastatic melanoma .","['metastatic melanoma']","['immunochemotherapeutic regimen consisting of interferon-alpha2b and interleukin-2 in combination with fotemustine']"
"to explore the induction of chemotherapy ( ct ) dna damage and its correlation with tumor response and patient survival , we undertook the present study in 20 small cell lung cancer ( sclc ) patients .","['small cell lung cancer ( sclc )']","['chemotherapy ( ct )']"
"in patients with metastatic colorectal cancer , intravenous oxaliplatin has been trialled as a monotherapy and in combination with other agents .","['metastatic colorectal cancer']","['intravenous oxaliplatin']"
"neoadjuvant therapy with oxaliplatin/fluorouracil/folinic acid has proven beneficial in enabling surgical removal of previously unresectable liver metastases .","['unresectable liver metastases']","['neoadjuvant therapy with oxaliplatin/fluorouracil/folinic acid']"
"in 2 studies , surgery with curative intent was performed in 16 and 51 % of patients with initially unresectable liver metastases following oxaliplatin/fluorouracil/folinic acid therapy ; the 5-year survival rates were 40 and 50 % , respectively .","['unresectable liver metastases']","['surgery', 'oxaliplatin/fluorouracil/folinic acid therapy']"
"in patients with advanced ovarian cancer , first-line therapy with oxaliplatin/cyclophosphamide achieved an objective response rate which did not differ significantly from that of cisplatin/cyclophosphamide ( 33 vs 42 % ) .","['advanced ovarian cancer']","['oxaliplatin/cyclophosphamide', 'cisplatin/cyclophosphamide']"
"in addition , oxaliplatin has shown efficacy in patients with platinum-pretreated ovarian cancer and achieved objective response rates similar to paclitaxel in this setting ( 16 vs 17 % ) .","['platinum-pretreated ovarian cancer']","['oxaliplatin']"
"promising results have also been found with oxaliplatin in patients with non-hodgkin 's lymphoma , breast cancer , mesothelioma and non-small cell lung cancer .","[""non-hodgkin 's lymphoma , breast cancer , mesothelioma and non-small cell lung cancer""]","['oxaliplatin']"
"oxaliplatin in combination with fluorouracil/folinic acid is an effective treatment option for patients with metastatic colorectal cancer , both as a first-line therapy and in patients refractory to previous chemotherapy .","['metastatic colorectal cancer']","['oxaliplatin in combination with fluorouracil/folinic acid']"
"additional clinical investigation of oxaliplatin in patients with other cancers is warranted given the promising results achieved in early trials , most notably in patients with platinum-pretreated ovarian cancer .","['cancers']","['oxaliplatin']"
"combined modality treatment has 'come out of age ' and increasingly represents standard of care for a rapidly growing number of patients in locally advanced stages of nsclc .","['nsclc']","['combined modality treatment']"
"the current study was designed to assess the prognostic value of immunomorphologic changes in locoregional lymph nodes and lymphocytic infiltration of primary tumor ( li ) in patients who undergo resection for bronchogenic carcinoma .","['bronchogenic carcinoma']","['resection']"
"lymph node immunoreactivity and li significantly influence long term survival after curative surgery for patients with carcinoma of the lung and may be useful in stratifying patients for prospective trials of adjuvant treatment , including immunotherapy .","['carcinoma of the lung']","['curative surgery']"
"the drug is currently in phase iii clinical trials for patients with non-small cell lung cancer in combination with paclitaxel and carboplatin , as well as in advanced hormone refractory prostate cancer in combination with mitoxantrone .","['non-small cell lung cancer', 'advanced hormone refractory prostate cancer']","['paclitaxel and carboplatin', 'mitoxantrone']"
"standard treatment of sclc consists of platinum-based combination chemotherapy , with thoracic irradiation added for patients with limited-stage disease .","['sclc']","['platinum-based combination chemotherapy']"
"several newer chemotherapeutic drugs have recently been shown to have significant activity in patients with untreated or relapsed sclc .","['untreated or relapsed sclc']","['chemotherapeutic drugs']"
"we recently performed completion pneumonectomy of the left lung in a 70-year-old man with hemophilia a , for squamous cell carcinoma in the residual left lung .","['squamous cell carcinoma']","['completion pneumonectomy of the left lung']"
"several reports emphasize the importance of en-bloc resection as the optimal surgical treatment of lung cancer with chest wall invasion .","['lung cancer']","['en-bloc resection']"
"between 1981 and 1998 , 100 patients ( 90 male ; ten female ) , with a median age of 60 years ( 36-84 ) , underwent radical en-bloc resection of non-small cell lung cancer ( nsclc ) with chest wall involvement .","['non-small cell lung cancer ( nsclc )']","['radical en-bloc resection']"
"over the past 17 years ( 1981 to 1997 ) , 29 patients underwent complete pulmonary resection for primary lung cancer accompanied by satellite nodules in the same lobe as the primary .","['primary lung cancer']","['complete pulmonary resection']"
"of 1 , 042 patients with primary lung cancer who underwent resection from 1982 to 1995 , 549 patients with adenocarcinoma ( ad ) and 363 with squamous cell carcinoma ( sq ) were included in this study .","['primary lung cancer']","['resection']"
"for small cell lung cancer ( sclc ) , which accounts for approximately 20 % of cases of lung cancer , the primary treatment is chemotherapy and in the majority of cases the primary aim is to control the disease which generally would have spread beyond the lungs at the time of presentation .","['small cell lung cancer ( sclc )']","['chemotherapy']"
"as a best-case scenario , postoperative irradiation may improve the chance for long-term survival in patients with n2 tumors .","['n2 tumors']","['postoperative irradiation']"
"for patients with stage i or ii non-small cell lung cancer ( nsclc ) , surgical resection is considered the standard of care .","['stage i or ii non-small cell lung cancer ( nsclc )']","['surgical resection']"
"efforts at improving survival for early-stage nsclc patients have focused on the use of chemotherapy administered postoperatively ( adjuvant ) or preoperatively ( neoadjuvant or induction ) to eradicate micrometastatic disease .","['early-stage nsclc', 'micrometastatic disease']","['chemotherapy']"
"chemotherapy administered before surgery or definitive irradiation has improved survival rates in patients with stage iii nsclc .","['stage iii nsclc']","['chemotherapy']"
"patients with a single ( n = 2 , 764 ) and synchronous nsclc ( n = 85 ) who underwent pulmonary resection .","['nsclc']","['pulmonary resection']"
"prophylactic cranial irradiation halves the rate of brain metastases in patients with small cell lung cancer .","['small cell lung cancer']","['prophylactic cranial irradiation']"
"this study aims to test whether prophylactic cranial irradiation prolongs survival of patients with small cell lung cancer in complete remission .","['small cell lung cancer']","['prophylactic cranial irradiation']"
"reviewer 's prophylactic cranial irradiation significantly improves survival and disease-free survival for patients with small cell lung cancer in complete remission .","['small cell lung cancer']","['prophylactic cranial irradiation']"
"non-small cell lung cancer cells were treated with gemcitabine , harvested , and nuclear extracts analyzed for nf-kappab dna binding by electrophoretic mobility shift assays .","['non-small cell lung cancer']","['gemcitabine']"
"novel treatment strategies for patients with advanced nsclc may involve chemotherapy combined with inhibition of nf-kappab-dependent cell-survival pathways .","['advanced nsclc']","['chemotherapy']"
"combination chemotherapy is the cornerstone of treatment that confers a meaningful survival benefit for patients with small-cell lung cancer .","['small-cell lung cancer']","['combination chemotherapy']"
"in single-agent phase ii studies , irinotecan yielded response rates between 16 % and 47 % in patients with previously treated small-cell lung cancer .","['small-cell lung cancer']","['irinotecan']"
"a phase ii study of irinotecan in combination with cisplatin ( platinol ) resulted in a response rate of 86 % and a median survival of 13.0 months in patients with extensive-disease small-cell lung cancer .","['extensive-disease small-cell lung cancer']","['irinotecan in combination with cisplatin ( platinol )']"
"based on these results , the irinotecan and cisplatin combination is a new standard regimen in the treatment of extensive-disease small-cell lung cancer .","['extensive-disease small-cell lung cancer']","['irinotecan and cisplatin combination']"
"both gemcitabine and etoposide are active in the treatment of small-cell lung cancer ( sclc ) , and are characterised by mild toxicity profiles .","['small-cell lung cancer ( sclc )']","['gemcitabine and etoposide']"
"patients and forty-two chemo-naive extensive disease sclc patients were enrolled to receive gemcitabine 1000 mg/m2 , days 1 , 8 and 15 , and etoposide 80 mg/m2 , days 8 , 9 and 10 of a 28-day cycle .","['sclc']","['gemcitabine', 'etoposide']"
"to find the maximum tolerated dose for ifosfamide in combination with paclitaxel and carboplatin in small-cell lung cancer patients ( sclc ) , who are resistant to cyclophosphamide , doxorubicin and etoposide ( cde ) .","['small-cell lung cancer']","['ifosfamide in combination with paclitaxel and carboplatin']"
"the maximum tolerated dose of this combination for patients with resistant sclc is ifosfamide 2000 mg/m2 in combination with paclitaxel 175 mg/m2 and carboplatin auc 6 mg/ml min administered on the first day of a 21-day cycle .","['resistant sclc']","['ifosfamide', 'paclitaxel', 'carboplatin']"
"many endobronchial treatment modalities are available to supplement traditional therapies for advanced lung cancer .","['advanced lung cancer']","['endobronchial treatment modalities']"
"the author reviews the use of several endobronchial treatment modalities that can augment standard antitumor therapies for advanced lung cancer , including rigid and flexible bronchoscopy , laser therapy , endobronchial prosthesis , and photodynamic therapy .","['lung cancer']","['endobronchial treatment modalities that can augment standard antitumor therapies']"
"endobronchial interventions are important adjuncts in the multimodality management of lung cancer and should become standard considerations in the management of patients with advanced lung cancer .","['lung cancer']","['endobronchial interventions']"
"standard operations for lung cancer patients are generally accepted as performing lobectomy or pneumonectomy on the tumor baring lung and ipsilateral hilar and mediastinal lymphadenectomy including subcarinal lymph nodes .","['lung cancer']","['lobectomy or pneumonectomy']"
"small cell lung cancer is a frequently relapsing tumor despite a high rate of response after first-line chemotherapy .","['small cell lung cancer']","['chemotherapy']"
"for symptomatic metastases in bone or brain , radiotherapy usually gives temporary palliation .","['symptomatic metastases in bone or brain']","['radiotherapy']"
"for intrathoracic relapse and severe obstruction of main bronchus and/or superior caval vein , radiotherapy is a possibility if not given as part of first-line treatment .","['intrathoracic relapse and severe obstruction of main bronchus and/or superior caval vein']","['radiotherapy']"
"an anti-idiotypic monoclonal antibody against the gd3 ganglioside , bec-2 , is being evaluated after chemotherapy in sclc patients in a european study .","['sclc']","['anti-idiotypic monoclonal antibody']"
"the matrix metalloproteinase inhibitors marimastat and bms-275291 are under evaluation in sclc .","['sclc']","['matrix metalloproteinase inhibitors marimastat and bms-275291']"
"we attempted a new regimen of intermittent administration of 5-fu and low-dose isovorin ( f.i ) to four patients with advanced and recurrent colon cancer .","['colon cancer']","['5-fu and low-dose isovorin ( f.i )']"
"to describe the relationship between fatigue and nutritional status in patients receiving radiation therapy for lung cancer .","['lung cancer']","['radiation therapy']"
"45 adults with primary cancer of the lung receiving < outpatient primary or adjuvant radiation therapy .","['cancer of the lung']","['radiation therapy']"
"we present the case of a patient with metastatic transitional cell carcinoma of the bladder and renal failure who underwent successful systemic chemotherapy with paclitaxel and carboplatin .","['metastatic transitional cell carcinoma of the bladder and renal failure']","['systemic chemotherapy with paclitaxel and carboplatin']"
"the objective of this phase ii study was to evaluate the concept of sequential chemotherapy in the treatment of patients with advanced nonsmall cell lung carcinoma ( nsclc ) by the administration of carboplatin plus gemcitabine followed by of paclitaxel .","['advanced nonsmall cell lung carcinoma ( nsclc )']","['sequential chemotherapy', 'carboplatin plus gemcitabine followed by of paclitaxel']"
"this study is the first to evaluate planned sequential chemotherapy in patients with nsclc .","['nsclc']","['planned sequential chemotherapy']"
"patients who benefit from a surgical resection for non-small-cell lung cancer with aneuploid dna content prove to have a higher risk of death .","['non-small-cell lung cancer']","['surgical resection']"
"this randomized trial was designed to determine whether paclitaxel plus carboplatin ( pc ) offered a survival advantage over vinorelbine plus cisplatin ( vc ) for patients with advanced non -- small-cell lung cancer .","['advanced non -- small-cell lung cancer']","['paclitaxel plus carboplatin ( pc )', 'vinorelbine plus cisplatin ( vc )']"
"pc is equally efficacious as vc for the treatment of advanced non -- small-cell lung cancer .","['advanced non -- small-cell lung cancer']","['pc', 'vc']"
"a prospective randomized trial in small-cell lung cancer ( sclc ) was performed to determine if intensification of the platinum dose by giving cisplatin and carboplatin in combination to patients with sclc yields higher response rates and survival , than carboplatin alone in a combination chemotherapy regimen .","['sclc']","['cisplatin and carboplatin', 'carboplatin alone in a combination chemotherapy regimen']"
"the intensification of platinum dose ( cisplatin plus carboplatin ) in combination chemotherapy significantly increased the complete response rate , overall survival and number of two-year survivors among sclc patients with limited disease compared to combination therapy with carboplatin alone , suggesting that a more aggressive treatment to this category of patients is worthwhile , while no difference in treatment outcome was observed for patients with extensive disease .","['sclc']","['intensification of platinum dose ( cisplatin plus carboplatin ) in combination chemotherapy', 'combination therapy with carboplatin alone']"
"the aim of this study was to investigate the relationships among technetium-99m tetrofosmin ( tc-tf ) accumulation in untreated small cell lung cancer ( sclc ) , the expression of p-glycoprotein ( pgp ) and multidrug resistance related protein-1 ( mrp1 ) , and the response to chemotherapy in patients with untreated sclc .","['untreated sclc']","['chemotherapy']"
"tc-tf chest scintigraphy correlated well with pgp or mrp1 expression and accurately predicted the response to chemotherapy in patients with sclc .","['sclc']","['chemotherapy']"
"exploratory interventions , partial tumor resections and lung resections for metastasis were more frequently performed in young patients than in older patients .","['metastasis']","['exploratory interventions , partial tumor resections and lung resections']"
"in the present report , we reviewed articles on pulmonary angiography for patients with pulmonary hypertension .","['pulmonary hypertension']","['pulmonary angiography']"
"prophylactic cranial irradiation ( pci ) has been demonstrated to significantly reduce the incidence of brain relapse from limited disease small-cell lung cancer ( ld sclc ) , but concerns about neurologic toxicity remain .","['limited disease small-cell lung cancer ( ld sclc )']","['prophylactic cranial irradiation ( pci )']"
"thus , twice-daily pci should be considered for patients with ld sclc who achieve a complete response to chemoirradiation .","['ld sclc']","['pci']"
"animal studies suggest that the kidney is involved in the elimination of recombinant human granulocyte colony-stimulating factor ( rhg-csf ) , which is used for patients with neutropenia during cancer chemotherapy .","['neutropenia', 'cancer']","['recombinant human granulocyte colony-stimulating factor ( rhg-csf )', 'chemotherapy']"
"in a pivotal phase iii trial , 242 patients with advanced ovarian cancer were randomised to receive treatment with cisplatin 100 mg/m2 and cyclophosphamide 1000 mg/m2 every 3 weeks with or without pretreatment with intravenous amifostine 910 mg/m2 .","['advanced ovarian cancer']","['cisplatin', 'cyclophosphamide']"
"over 6 cycles of therapy , amifostine significantly reduced haematological , renal and neurological treatment delays , treatment discontinuation and days in hospital related to these adverse events were also significantly reduced in patients receiving amifostine versus patients receiving chemotherapy alone .","['haematological , renal and neurological toxicities']","['amifostine']"
"amifostine ( 340 mg/m2 ) also provided significant protection against pneumonitis and oesophagitis in patients with lung cancer receiving thoracic irradiation in a preliminary report from a phase iii trial ( n = 144 ) .","['pneumonitis and oesophagitis', 'lung cancer']","['amifostine', 'thoracic irradiation']"
"amifostine has also been shown to stimulate haematopoietic stem cells and has been investigated as a therapy for patients with myelodysplastic syndrome in number of small preliminary studies .","['myelodysplastic syndrome']","['amifostine']"
"depending on the outcome of numerous ongoing clinical trials , amifostine may eventually find broader clinical applications , both as a cytoprotectant and as a potential therapy in myelodysplastic syndrome .","['myelodysplastic syndrome']","['amifostine']"
"to perform a curative operation for the lung cancer without myocardial infarction , minimally invasive direct coronary artery bypass and left lower lobectomy with video-endoscopic assistance were performed simultaneously .","['lung cancer']","['minimally invasive direct coronary artery bypass and left lower lobectomy with video-endoscopic assistance']"
